person_id,data_key,data_value
10001,mp_contactdetails,http://www.aph.gov.au/house/members/member.asp?id=EZ5
10001,mp_biography_qanda,http://www.abc.net.au/tv/qanda/mp-profiles/warr.htm
10001,mp_website,http://www.tonyabbott.com.au
10001,debate_sectionsspoken_inlastyear,1
10001,debate_sectionsspoken_inlastyear_rank,83
10001,debate_sectionsspoken_inlastyear_rank_joint,1
10001,debate_sectionsspoken_inlastyear_rank_outof,150
10001,debate_sectionsspoken_inlastyear_quintile,2
10001,reading_ease,53.7057919645354
10001,reading_ease_rank,43
10001,reading_ease_rank_outof,137
10001,reading_ease_quintile,1
10001,reading_year,11.4375306521826
10001,reading_year_rank,109
10001,reading_year_rank_outof,137
10001,reading_year_quintile,3
10001,comments_on_speeches,0
10001,comments_on_speeches_rank,1
10001,comments_on_speeches_rank_joint,1
10001,comments_on_speeches_rank_outof,150
10001,comments_on_speeches_quintile,2
10001,three_word_alliterations,5
10001,three_word_alliteration_content,:think that the:to thank the:out of order:of order on:of order on
10001,three_word_alliterations_rank,10
10001,three_word_alliterations_rank_joint,1
10001,three_word_alliterations_rank_outof,150
10001,three_word_alliterations_quintile,0
10001,mp_twitter_invite_tweetmp,http://tweetmp.org.au/mps/invite/1